question,category,a1,p1,a2,p2,a3,p3,a4,p4,a5,p5,a6,p6
اذكر شيء يستخدمه الناس كل يوم الصبح,عامة,فرشاة الأسنان,30,الجوال,25,الماء,18,المنبه,12,القهوة,10,المرآة,5
اذكر سبب يخلّي الشخص يتأخر عن الدوام,عامة,الزحمة,30,النوم,25,عطل السيارة,18,المرض,12,نسيان شيء,10,الأمطار,5
اذكر شيء يضيّع وقت الناس,عامة,الجوال,30,السوشال ميديا,25,التلفزيون,18,الألعاب,12,الزحمة,10,كثرة النوم,5
اذكر شيء تاخذه معك وأنت مسافر,عامة,الجوال والشاحن,28,الملابس,25,جواز السفر,20,المحفظة,12,الشنطة,10,الأدوية,5
اذكر شيء ينساه الناس كثير,عامة,المفاتيح,28,الجوال,25,المحفظة,18,أسماء الناس,12,المواعيد,10,الشاحن,7
اذكر سبب يخلّي الناس تفرح,عامة,العيد,28,الراتب,25,الزواج,18,النجاح,13,الإجازة,10,مولود جديد,6
اذكر شيء يسبب الصداع,عامة,قلة النوم,28,حرارة الشمس,22,الضوضاء,18,الجوع,14,كثرة الشاشات,10,التوتر,8
اذكر شيء يخوّف الأطفال,عامة,الظلام,30,الإبرة,25,الحشرات,18,الأصوات العالية,12,البقاء لحالهم,10,دكتور الأسنان,5
اذكر خدمة تسويها من جوالك بدل ما تروح لها,عامة,تحويل فلوس,28,طلب أكل,24,حجز موعد,18,تجديد الاستمارة,14,طلب توصيلة,10,شراء أونلاين,6
اذكر شيء لونه أحمر,عامة,الدم,28,التفاح,22,الطماطم,20,الفراولة,14,الورد,10,الفلفل الحار,6
اذكر شيء موجود في كل مطبخ,عامة,ملح,28,زيت,22,سكر,18,ملاعق وشوك,14,صحون,10,أرز,8
اذكر سبب يخلّي الناس ما تنام,عامة,التفكير والقلق,28,الجوال,25,القهوة,18,الضوضاء,12,المرض,10,الحر الشديد,7
اذكر شيء الناس تسويه بالسيارة غير السواقة,عامة,تسمع أغاني,30,تتكلم بالجوال,22,تأكل أو تشرب,18,تحط مكياج,12,تشرب قهوة,10,تتصور,8
اذكر شيء الناس تشتريه وهي ما تحتاجه,عامة,ملابس زيادة,28,أكل إضافي,22,إلكترونيات,18,عطور,14,ألعاب,10,إكسسوارات,8
اذكر مكان الناس تروحله لما تزهق,عامة,المول,28,الكافيه,22,البحر أو الكورنيش,18,بيت صديق,14,السينما,10,الحديقة,8
اذكر شيء تسويه أول ما تصحى من النوم,عامة,تشيك الجوال,30,تروح الحمام,25,تشرب ماء,18,تصلي,12,تسوي قهوة,10,تتمطى,5
اذكر شيء غالي وناس كثير تحلم فيه,عامة,بيت خاص,30,سيارة فخمة,25,آخر آيفون,18,ساعة فخمة,12,السفر,10,ذهب,5
